@relation homes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute postal-code {84003,84004,84005,84013,84020,84042,84043,84045,84049,84057,84058,84062,84074,84078,84097,84601,84604,84606,84629,84633,84651,84653,84655,84660,84663,84664}
@attribute bedrooms {1,2,3,4,5,6,7,8}
@attribute bathrooms {1,2,3,4,5,6,8}
@attribute square-feet numeric
@attribute lot-size numeric
@attribute cars {0,1,2,3,4,5,6,7,8,10,12}
@attribute type {'Condo/Townhome/Row Home/Co-Op','Mfd/Mobile Home','Multi-Family Home','Single Family Home'}
@attribute cost numeric

@data
84003,2,2,0.205947,0.00136,2,'Single Family Home',301900
84045,3,2,0.07506,0.000209,1,'Condo/Townhome/Row Home/Co-Op',190000
84058,4,2,0.207818,?,2,'Single Family Home',374950
84045,3,2,0.225907,0.000942,2,'Single Family Home',294990
84005,4,2,0.225283,0.001779,2,'Single Family Home',255000
84601,2,1,0.036386,0.001465,0,'Single Family Home',174900
84003,3,2,0.200021,0.00136,2,'Single Family Home',299900
84653,3,2,0.348477,0.002302,2,'Single Family Home',399000
84003,4,2,0.317912,0.00136,2,'Condo/Townhome/Row Home/Co-Op',335900
84003,4,2,0.317912,0.00136,2,'Condo/Townhome/Row Home/Co-Op',335900
84003,4,2,0.317912,0.001256,2,'Condo/Townhome/Row Home/Co-Op',335900
84003,4,2,0.317912,0.001256,2,'Condo/Townhome/Row Home/Co-Op',335900
84601,3,1,0.111134,0.002302,2,'Single Family Home',249900
84045,3,2,0.322175,?,3,'Single Family Home',334990
84664,3,2,0.30866,?,2,'Single Family Home',389990
84663,4,2,0.386839,0.005546,3,'Single Family Home',464900
84003,3,2,0.227363,0.00136,2,'Single Family Home',321900
84651,3,2,0.294313,0.001988,2,'Single Family Home',349900
84003,3,2,0.227363,0.001256,2,'Single Family Home',321900
84062,5,2,0.152823,0.001779,2,'Single Family Home',294900
84057,6,2,0.202308,0.002093,0,'Single Family Home',265000
84020,4,3,0.341096,0.001674,2,'Single Family Home',439900
84062,4,5,0.743321,0.012348,2,'Single Family Home',849900
84003,6,3,0.52074,0.003349,2,'Single Family Home',610000
84097,4,1,0.123298,0.002407,1,'Single Family Home',227000
84043,5,3,0.173719,0.00136,2,'Single Family Home',299900
84003,4,2,0.212496,0.004814,2,'Single Family Home',380000
84043,3,2,0.158332,0.000209,1,'Single Family Home',269900
84660,4,3,0.297432,0.003767,3,'Single Family Home',349000
84651,5,3,0.203867,0.002512,2,'Single Family Home',269900
84062,5,3,0.219773,0.001151,2,'Single Family Home',329000
84057,5,2,0.162907,0.002093,0,'Single Family Home',219900
84003,3,2,0.492463,0.002093,3,'Single Family Home',749900
84663,3,2,0.11207,0.000628,2,'Condo/Townhome/Row Home/Co-Op',229900
84042,3,3,0.178813,0.000419,2,'Condo/Townhome/Row Home/Co-Op',325000
84097,6,3,0.516374,0.002721,2,'Single Family Home',539900
84057,3,2,0.288907,0.001884,2,'Single Family Home',300000
84058,4,2,0.479468,0.002825,4,'Single Family Home',619900
84045,4,2,0.415948,0.002616,2,'Single Family Home',436900
84003,4,3,0.149392,0.002198,2,'Single Family Home',299900
84601,5,3,0.203452,0.001151,0,'Single Family Home',269900
84005,3,2,0.07558,0.000209,0,'Condo/Townhome/Row Home/Co-Op',156900
84003,3,2,0.107392,0.000628,2,'Single Family Home',289800
84043,3,2,0.24566,0.00136,2,'Single Family Home',359900
84045,4,2,0.375923,0.002512,2,'Single Family Home',413900
84003,2,1,0.058738,0.000105,0,'Condo/Townhome/Row Home/Co-Op',168500
84058,3,2,0.220293,?,2,'Single Family Home',379950
84604,3,1,0.066535,0.001674,0,'Single Family Home',207500
84045,3,2,0.345358,0.00293,2,'Single Family Home',383900
84045,3,2,0.322799,0.002616,2,'Single Family Home',372900
84003,4,3,0.486017,0.002093,3,'Single Family Home',759900
84005,3,2,0.172887,0.000419,2,'Single Family Home',240000
84664,3,2,0.328101,?,2,'Single Family Home',374990
84601,5,3,0.29816,0.000628,3,'Single Family Home',459000
84045,3,2,0.3202,?,2,'Single Family Home',309990
84045,3,2,0.349517,0.002512,2,'Single Family Home',391900
84601,4,3,0.25616,0.001988,2,'Single Family Home',355000
84057,5,3,0.314482,0.002093,2,'Single Family Home',360000
84601,4,2,0.188065,0.00293,2,'Single Family Home',329900
84078,3,2,0.243892,0.002407,2,'Single Family Home',254900
84601,4,3,0.109263,0.001884,2,'Single Family Home',274900
84601,3,2,0.196278,0.001779,2,'Single Family Home',250000
84043,3,2,0.134733,0.000105,2,'Condo/Townhome/Row Home/Co-Op',234900
84660,4,2,0.194615,0.001674,2,'Condo/Townhome/Row Home/Co-Op',245000
84045,6,4,0.350764,0.002407,3,'Single Family Home',369900
84606,5,3,0.319576,0.004604,4,'Single Family Home',425000
84057,6,2,0.191704,0.002512,2,'Single Family Home',250000
84660,3,2,0.228922,0.001988,2,'Single Family Home',305900
84058,3,2,0.188065,?,2,'Single Family Home',364950
84005,4,3,0.20657,0.001256,2,'Single Family Home',295000
84651,4,2,0.361784,0.003977,2,'Single Family Home',405900
84651,4,2,0.361784,0.003453,2,'Single Family Home',408900
84043,6,3,0.228714,0.001465,2,'Single Family Home',329900
84604,8,4,0.243372,0.00157,0,'Multi-Family Home',414900
84097,2,1,0.099075,0.002825,0,'Single Family Home',205000
84057,2,1,0.032124,0.000105,0,'Condo/Townhome/Row Home/Co-Op',159900
84005,3,2,0.077867,0.000209,0,'Condo/Townhome/Row Home/Co-Op',168000
84057,4,2,0.222788,0.002093,2,'Single Family Home',299500
84097,5,4,0.496205,0.002721,2,'Single Family Home',499000
84003,3,2,0.147521,0.000105,2,'Condo/Townhome/Row Home/Co-Op',309900
84651,3,2,0.390269,0.003453,2,'Single Family Home',398900
84097,5,2,0.16956,0.002407,0,'Single Family Home',225000
84651,3,2,0.391413,0.003453,2,'Single Family Home',404900
84604,3,2,0.125481,0.000105,2,'Condo/Townhome/Row Home/Co-Op',245999
84003,3,3,0.153758,0.003139,2,'Condo/Townhome/Row Home/Co-Op',314900
84651,3,2,0.349517,0.001988,2,'Single Family Home',344900
84651,3,2,0.322799,0.003453,2,'Single Family Home',367900
84045,4,2,0.319888,?,2,'Single Family Home',344990
84043,3,2,0.192016,0.000942,2,'Single Family Home',299900
84043,4,2,0.152095,0.001779,0,'Single Family Home',249900
84042,3,1,0.137332,0.005546,0,'Single Family Home',299900
84043,3,2,0.118308,?,2,'Condo/Townhome/Row Home/Co-Op',267900
84655,3,2,0.300759,0.001779,2,'Single Family Home',289900
84653,3,2,0.460131,0.003872,3,'Single Family Home',549000
84664,4,2,0.361784,?,2,'Single Family Home',409990
84003,5,2,0.422289,0.003872,3,'Single Family Home',604900
84043,6,3,0.332155,0.002093,2,'Single Family Home',470000
84003,5,3,0.364175,0.000419,2,'Condo/Townhome/Row Home/Co-Op',469900
84062,5,3,0.273313,0.004604,3,'Single Family Home',399900
84058,4,2,0.179852,0.001988,2,'Single Family Home',288000
84045,4,2,0.437571,0.002616,3,'Single Family Home',435000
84601,4,2,0.189417,0.001884,2,'Single Family Home',321900
84663,3,2,0.080986,0.001779,0,'Single Family Home',199500
